run_at,date,time,country,collection,category,rank,prev_rank,change,app_id,title,score,developer
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,9,,,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,4.75,BeheFun Games Limited
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,10,,,com.ea.gp.fifamobile,EA SPORTS FC Soccer Mobile 26,4.3,ELECTRONIC ARTS
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,11,,,com.playrix.gardenscapes,Gardenscapes,4.53,Playrix
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,12,,,com.supercell.clashofclans,Clash of Clans,4.5,Supercell
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,13,,,io.randomco.travel,Travel Town - Merge Adventure,4.26,Magmatic Games LTD
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,14,,,com.nianticlabs.pokemongo,Pokémon GO,4.07,"Scopely Explore, Inc."
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,15,,,com.playrix.township,Township,4.68,Playrix
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,16,,,com.dreamgames.royalmatch,Royal Match,4.44,"Dream Games, Ltd."
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,17,,,com.fun.lastwar.gp,Last War:Survival Game,4.51,FUNFLY PTE. LTD.
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,18,,,com.mobiin.gp,Moba Legends: 5v5!,3.74,Vizta Games
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,19,,,com.teenpatti.hd.gold,Teen Patti GOLD: 3 Patti Rummy,4.33,Moonfrog
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,20,,,com.fatmerge.global,Tasty Travels: Merge Game,4.37,Century Games PTE. LTD.
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,21,,,com.readygo.barrel.gp,Last Z: Survival Shooter,4.3,Omnilojo Pte Ltd
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,22,,,com.activision.callofduty.shooter,Call of Duty®: Mobile,4.25,"Activision Publishing, Inc."
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,23,,,com.yalla.yallagames,Yalla Ludo - Ludo&Jackaroo,3.71,Aviva Sun
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,24,,,com.ludo.king,Ludo King®,3.98,Gametion
2026-07-24 20:08:35 IST,2026-07-24,20:08,IN,GROSSING,GAME,25,,,com.playrix.homescapes,Homescapes,4.56,Playrix
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,1,1,0,com.easybrain.arrow.puzzle.game,Arrow Puzzle: Tap Puzzle Games,4.57,Easybrain
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,2,2,0,com.ludo.king,Ludo King®,3.98,Gametion
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,3,3,0,com.dts.freefiremax,Free Fire MAX,4.34,GARENA INTERNATIONAL I
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,4,7,+3,com.miniclip.carrom,Carrom Pool: Disc Game,4.58,Miniclip.com
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,5,9,+4,com.pubg.imobile,BGMI: FPS Battle Royale,4.36,"KRAFTON, Inc."
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,6,10,+4,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,4.76,BeheFun Games Limited
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,7,12,+5,com.ta.strike.ops,FPS Strike Ops : Modern Arena,4.26,FPS Shooter & Action Game
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,8,11,+3,com.imangi.templerun2,Temple Run 2: Endless Escape,4.06,Imangi Studios
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,9,5,-4,com.rioo.runnersubway,Subway Princess Runner,4.02,Ivy
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,10,13,+3,com.oakever.arrows,Amaze GO!,4.4,Oakever Games
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,11,14,+3,com.ecffri.arrows,Arrows – Puzzle Escape,4.58,Lessmore GmbH
2026-07-25 21:14:13 IST,2026-07-25,21:14,IN,TOP_FREE,GAME,12,6,-6,com.Rohit.IndianBikes,Indian Bikes Driving 3D,4.17,Rohit Gaming Studio
